NAME	Basal-NK-cell	NA-NK-cell	Basal-CD8-T-cell	NA-CD8-T-cell	Basal-CD4-T-cell	NA-CD4-T-cell	Basal-Mp1	NA-Mp1	Basal-Mp2	NA-Mp2	Basal-Mp3	NA-Mp3	Basal-Mp4	NA-Mp4	Basal-Mp5	NA-Mp5	Basal-NonInf-Mp	NA-NonInf-Mp	NA-Hep1	NA-Hep2	NA-Hep3	NA-Hep4	NA-Hep5	NA-LSEC1	NA-LSEC2	NA-Plasma	Basal-B-cell	NA-B-cell	NA-Chol
ACSM5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	322.248369073419	317.619561557743	352.764233782298	290.09793639272	236.367081092042	1	1	1	1	1	1
ACSS1	121.666689293818	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	98.5946143280126
ACSS2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	76.9159965216295	160.031777356733	693.994977568733	1	1	1	1	1	1	1
ACSS3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99.3692804189172	1	165.627682408553	71.7277301522183	1	1	1	1	1	1
ACTA2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	512.445907731555
ACTR1B	1	1	1	122.015929772858	1	131.107358620831	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACTR6	78.437091435543	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACVR1	1	1	1	1	1	1	1	1	53.8442789460995	91.755982536301	1	1	47.4814515571177	1	1	1	49.1375771636801	1	1	1	1	1	1	1	1	1	1	1	1
ACVR1B	1	1	1	1	1	1	55.6492191197508	1	36.1086468229965	1	1	1	1	1	52.3475915898191	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ACVRL1	1	1	1	1	1	1	1	1	1	133.237430966667	1	1	1	1	1	1	1	133.704243561605	1	1	1	1	1	122.880870222631	1	1	1	1	1
ACYP2	1	1	1	1	1	1	1	1	1	1	1	1	1	194.954541627794	1	1	1	1	138.555213856529	89.6588063686326	1	1	133.379871870802	1	1	1	1	1	116.8643728902
ADA	1	1	1	1	1	1	109.767405287884	1	1	1	51.6722185857115	1	82.1532235955485	1	129.167587556479	1	190.337668317897	1	1	1	1	1	1	1	1	1	1	1	1
ADA2	1	1	1	1	1	1	86.5153939643733	1	53.8036717942486	1	127.778934685859	1	184.211218004373	1	80.8293745384945	1	204.022744398935	1	1	1	1	1	1	1	1	1	1	1	1
ADAM15	1	1	1	1	1	1	1	104.221728589263	34.7789414790988	94.0482602545935	1	1	1	1	1	141.435356273441	1	140.162822121409	1	1	1	1	1	171.252764971172	112.575484007097	1	1	1	79.4421829856464
ADAM19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	217.003098354653	1	1	1
ADAM28	126.283673896654	1	1	1	1	1	140.119630657464	1	1	1	126.606478196357	1	1	1	50.6293673426968	1	56.980220040376	1	1	1	1	1	1	1	1	1	233.254940567235	254.898330992352	1
ADAM8	180.597819836724	173.165752333428	74.6715874678466	1	1	1	1	1	1	1	1	1	1	1	1	1	47.8180049421117	1	1	1	1	1	1	1	1	1	1	1	1
ADAM9	1	1	1	1	1	1	293.21358551634	101.507677175148	162.12099793653	1	129.26635199001	1	379.634638620468	160.870763667615	229.731447611284	1	327.599956257307	180.887552860745	1	1	1	1	1	1	1	1	1	1	1
ADAMDEC1	1	1	1	1	1	1	86.7986790614152	1	66.1650267504935	450.90362637236	119.039056559101	1	101.757721704497	1	191.83558878787	1	102.53682875379	1	1	1	1	1	1	1	1	1	1	1	1
ADAMTS1	1	1	1	1	1	1	1	1	1	69.0437063727106	1	1	1	1	1	1	1	1	1	1	1	1	1	256.475099953115	130.567959454195	1	1	1	1
ADAMTS2	1	1	1	1	1	1	1	146.046922227875	1	1	1	98.9230804262518	1	1	1	145.049585687345	1	153.119455384573	1	1	1	1	1	1	1	1	1	1	1
ADAP2	1	1	1	1	1	1	341.727298073456	107.211005463474	85.2082483461167	425.149820968211	179.163100686379	246.077460603556	228.17186759428	242.858477297608	107.757322581495	171.091688164587	380.681379526442	416.128785501985	1	1	1	1	1	1	1	1	1	1	1
ADCY4	1	1	1	1	1	1	1	1	1	90.3912722641616	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADD3	191.174277984118	372.900022693029	192.30438154056	154.162160729447	158.456782318609	192.286880848711	1	308.739828814797	1	1	1	119.790784693857	1	1	1	106.894582302949	1	146.923080532135	1	1	1	1	1	213.952266842991	335.568353846065	1	122.386694985316	283.326485038792	105.67086570636
ADGRA3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	127.882508062504	162.601168557541	349.776669547195	1	95.2353866201906	1	1	1	1	1	1
ADGRE2	1	1	1	1	1	1	136.236155013949	112.977430867405	182.993393306759	1	124.822042502865	167.22567244926	46.5708442551985	109.093522799012	107.42920394571	163.704055573324	44.7931795394133	1	1	1	1	1	1	1	1	1	1	1	1
ADGRF5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	264.389055320657	776.35849932464	1	1	1	1
ADGRG1	168.651019394747	238.761303090436	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADGRL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	73.6344083717855	1	1	1	1	164.697097114733	1	1	1	1
ADGRL4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	224.277294254704	906.517043148266	1	1	1	1
ADH1A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	262.276719728573	273.387272301993	273.095802826938	1	319.532039286962	1	1	1	1	1	1
ADH1C	1	1	1	1	1	193.04936230036	1	1	1	1	1	1	1	1	1	1	1	1	494.783647109061	503.511893221355	485.110322636485	1	682.415924470664	1	1	1	1	1	129.8099728604
ADH4	1	1	1	1	1	297.115913530562	1	1	1	1	1	1	1	223.795405066322	1	1	1	1	965.629575737334	951.356628126536	967.637207603003	1	1028.92889236673	1	1	1	1	1	1
ADH6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	491.930265957511	468.15149894652	552.572227615773	125.786463541163	391.13768274798	1	1	1	1	1	1
ADIRF	1	1	1	1	1	1	1	1	1	537.356623201624	1	1	1	1	1	1	1	1	307.488316842628	227.236653528101	179.486304885532	176.490015434189	464.567492692451	1851.92275777741	154.631559641489	1	1	1	353.878843992862
ADM	1	1	1	1	1	1	1	1	1	1	1	1	44.204214998976	228.691705305038	1	1	1	291.3120985706	1	1	1	1	1	1	433.128410999166	1	1	1	1
ADO	1	1	1	1	1	1	1	1	70.0014250807759	1	41.6650949040558	1	55.5299081859264	1	48.0090896979684	1	44.228499307826	1	1	1	1	1	1	1	1	1	1	1	1
ADORA3	1	1	1	1	1	1	1	1	1	1	1	88.4197756516732	1	181.689202110082	1	1	1	368.976768603771	1	1	1	1	1	1	1	1	1	1	1
ADRB2	88.2784151251558	1	1	182.902258111999	1	1	1	1	1	38.9135420501275	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ADRBK1	1	124.21971116394	1	1	1	1	1	180.549913563303	1	1	1	155.760200684891	1	1	1	156.546133128178	1	162.453744643177	1	1	1	1	1	1	1	1	1	1	1
ADRBK2	1	1	1	1	1	1	1	1	1	1	1	1	1	118.592714350681	1	1	1	109.595009344898	1	1	1	1	1	1	1	1	1	1	1
ADSL	1	1	1	1	1	1	1	1	1	198.240820248896	1	91.7100912197144	1	1	1	1	1	1	1	1	1	1	1	1	1	153.079813557896	1	1	71.0698578028329
ADSS	1	1	1	1	1	1	137.17447349104	111.662749611797	94.2885361701731	1	82.3783201630381	1	75.2946580781627	1	94.2411797359167	147.156084987353	75.6836532026205	1	1	1	1	1	1	1	1	1	1	1	93.29410043462
AEBP1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	92.6723044493914
AFF3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	253.51664227267	152.625066591708	1
AFG3L2	1	1	1	1	1	1	50.5588139485668	1	63.2886813612317	213.588685975954	39.2377602656269	1	52.5903972557943	1	52.2132264820969	1	55.2388984861223	1	99.1986460362697	137.504072669189	139.94402155671	1	99.6434423226212	1	1	1	1	1	87.0327014686741
AFM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	417.803019745245	432.352589379372	534.533487847444	264.179227357468	448.614811162564	1	1	1	1	1	1
AFP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	177.94194668888	185.062537422816	166.24540404727	1	206.450227791206	1	1	1	1	1	1
AFTPH	1	1	1	1	1	1	93.5068296658649	1	100.662875873362	1	83.1099405674301	1	76.0824228816367	1	77.8830043703265	97.5332160732799	93.3591782364433	1	1	1	1	1	1	1	1	1	1	1	58.9890839375496
AGAP3	1	1	1	1	1	1	77.0202653995523	1	54.0787983926555	1	76.4036846426967	1	134.027421042991	1	83.144292194383	1	137.313161861562	1	1	1	1	1	1	1	1	1	1	1	1
AGFG1	1	1	1	1	1	1	122.408063393495	250.188390577674	69.940255442487	1	91.0793910289343	126.500743228825	85.619102575497	1	86.2217393980836	221.451557535804	107.954694773078	262.8792206726	1	1	1	1	1	1	1	1	1	1	1
AGFG2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	244.344253310005	1	1	1	1
AGGF1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	104.93703466207	1	1	1	1	1	1	1	1	1	1	1
AGL	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	100.345573194318	170.166122850103	181.387828046746	1	106.955769951725	1	1	1	1	1	1
